Feature,Importance,Normalized Importance,Scaled Importance
NO₂ adj to OH,0,0.0,0.0
NO₂ adj. to CH₃,0,0.0,0.0
No. of Aliphatic Rings,7,0.0003883495145631068,0.0017748478701825558
NO₂ adj. to CO,96,0.005325936199722607,0.02434077079107505
NO₂ adj. to NH₂,120,0.00665742024965326,0.030425963488843813
Number of N₃,140,0.007766990291262136,0.035496957403651115
NO₂ adj to NO₂,180,0.009986130374479889,0.04563894523326572
No. of Aromatic Rings,365,0.020249653259361997,0.09254563894523327
Class II TBs,457,0.02535367545076283,0.11587221095334685
NO₂ adj to NH,482,0.026740638002773924,0.12221095334685599
SMR_VSA5,804,0.04460471567267684,0.20385395537525355
Number of C,877,0.04865464632454924,0.2223630831643002
H Bond Ratio,896,0.04970873786407767,0.22718052738336714
VSA_EState8,1006,0.05581137309292649,0.2550709939148073
Class I TBs,1229,0.06818307905686546,0.3116125760649087
KMF,1691,0.09381414701803051,0.4287525354969574
Number of N,1976,0.109625520110957,0.5010141987829615
TPSA,3755,0.20832177531206658,0.952079107505071
Oxygen Balance,3944,0.21880721220527047,1.0
